0,"PARLOR FLOOR - KITCHEN
Photo © Ashok Sinha",Kitchen,https://images.dwell.com/photos-6547915944199102464/6547918555532726272-large/parlor-floor-kitchen-photo-c-ashok-sinha.jpg
1,Hillside Sanctuary  (Hoedemaker Pfeiffer),Kitchen,https://images.dwell.com/photos-6288160506043158528/6550058655060606976-large/hillside-sanctuary-hoedemaker-pfeiffer.jpg
2,Hillside Sanctuary  (Hoedemaker Pfeiffer)1,Kitchen,https://images.dwell.com/photos-6288160506043158528/6550058675200868352-large/hillside-sanctuary-hoedemaker-pfeiffer.jpg
3,Hillside Sanctuary  (Hoedemaker Pfeiffer)2,Kitchen,https://images.dwell.com/photos-6288160506043158528/6550058636665020416-large/hillside-sanctuary-hoedemaker-pfeiffer.jpg
4,"Caitlin is an author and a pastry chef. The self-taught baker is the former owner of the San Francisco cake and sweets shop Miette. The kitchen is designed to accommodate the family's cooking needs—naturally, a home for the coffee bar was a priority.",Kitchen,https://images.dwell.com/photos-6133553759298379776/6539284942491467776-large/caitlin-is-an-author-and-a-pastry-chef-the-self-taught-baker-is-the-former-owner-of-the-san-francisco-cake-and-sweets-shop-miette-the-kitchen-is-designed-to-accommodate-the-familys-cooking-needsnaturally-a-home-for-the-coffee-bar-was-a-priority.jpg
5,"The kitchen is equipped with high-end electronic appliances—including an oven, induction plate, refrigerator, dishwasher, microwave, washing machine, and dryer.",Kitchen,https://images.dwell.com/photos-6063391372700811264/6543880590762414080-large/the-kitchen-is-equipped-with-high-end-electronic-appliancesincluding-an-oven-induction-plate-refrigerator-dishwasher-microwave-washing-machine-and-dryer.jpg
6,Honed Carrara marble lines the kitchen countertops as well as the backsplash.,Kitchen,https://images.dwell.com/photos-6257666956885532672/6310931133015986176-large/honed-carrara-marble-lines-the-kitchen-countertops-as-well-as-the-backsplash.jpg
7,Kitchen,Kitchen,https://images.dwell.com/photos-6133433136786071552/6547870337879154688-large/kitchen.jpg
8,Kitchen1,Kitchen,https://images.dwell.com/photos-6133433136786071552/6547870428440268800-large/kitchen.jpg
9,"""We splurged on Anthropologie hardware for the cabinets, and don’t regret that ever,"" adds Claude.",Kitchen,https://images.dwell.com/photos-6328431439726800896/6539673402958360576-large/we-splurged-on-anthropologie-hardware-for-the-cabinets-and-dont-regret-that-ever-adds-claude.jpg
